id_material;descricao;id_pedido;quantidade_pedida
692;Balcão - cor argila;3398;4
1863;Mesa em formato peninsular - cor mogno;3397;1
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3396;20
706;Mesa de escritório - cor argila;3395;4
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3394;4
9243;CADEIRA GIRATÓRIA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3393;3
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3392;4
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3391;3
702;Mesa de apoio - cor argila;3390;6
696;Gaveteiro volante - cor argila;3390;4
487;Bebedouro para garrafão - 110v;3390;1
1463;Multímetro Digital;3389;1
683;Sofá - 2 lugares - tecido azul;3388;1
724;Mesa de direção - com conexão - cor mogno;3387;1
500;Refrigerador, modelo doméstico, 110 Volts;3386;11
500;Refrigerador, modelo doméstico, 110 Volts;3385;12
706;Mesa de escritório - cor argila;3384;2
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3383;2
1463;Multímetro Digital;3382;1
713;Mesa Auxiliar - cor mogno;3380;1
1314;Cadeira tipo longarina - 04 assentos - c/braços;3379;8
9209;CADEIRA GIRATÓRIA ESPALDAR ALTO - COM BRAÇOS - TECIDO AZUL;3378;2
692;Balcão - cor argila;3377;4
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3376;21
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3376;3
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3375;9
721;Mesa de direção - cor argila;3375;3
6514;Ventilador tipo coluna/pedestal - bivolt;3374;2
487;Bebedouro para garrafão - 110v;3373;1
500;Refrigerador, modelo doméstico, 110 Volts;3372;1
483;Armário para copa (kit triplo);3372;1
1863;Mesa em formato peninsular - cor mogno;3371;1
500;Refrigerador, modelo doméstico, 110 Volts;3370;1
483;Armário para copa (kit triplo);3370;1
9206;CADEIRA FIXA ESPALDAR BAIXO - SEM BRAÇOS - TECIDO AZUL;3369;20
706;Mesa de escritório - cor argila;3368;4
9208;CADEIRA GIRATÓRIA ESPALDAR BAIXO - COM BRAÇOS - TECIDO AZUL;3367;21
9207;CADEIRA FIXA ESPALDAR MÉDIO - COM BRAÇOS - TECIDO AZUL;3367;3
